,PTot,TRoo,time
1943,326.53061224489824,293.96488850669425,18855900.0
1944,0.0,294.61487797479276,18856800.0
1945,326.53061224489824,294.28314513826746,18857700.0
1946,5.231953892668184,295.22599549202135,18858600.0
1947,40.81632653061228,295.1198512582008,18859500.0
1948,40.81632653061228,295.41361110664366,18860400.0
1949,5.231953892668184,291.55127991306995,18861300.0
1950,326.53061224489824,292.4482178255893,18862200.0
1951,40.81632653061228,289.70485356898206,18863100.0
1952,326.53061224489824,291.06912732388844,18864000.0
1953,137.75510204081638,289.9452701410772,18864900.0
1954,0.0,290.68203182824,18865800.0
1955,0.0,295.9697299711853,18866700.0
1956,0.0,298.03282422561904,18867600.0
1957,40.81632653061228,299.5093213713131,18868500.0
1958,137.75510204081638,294.1314476208367,18869400.0
1959,40.81632653061228,292.9574785209087,18870300.0
1960,5.231953892668184,294.47867809889016,18871200.0
1961,40.81632653061228,297.03591691779343,18872100.0
1962,326.53061224489824,295.49667533978607,18873000.0
1963,0.0,293.111470325243,18873900.0
1964,137.75510204081638,302.11585556137624,18874800.0
1965,5.231953892668184,295.1119052386254,18875700.0
1966,0.0,299.4689720025601,18876600.0
1967,40.81632653061228,305.30667735719373,18877500.0
1968,40.81632653061228,298.5976437139883,18878400.0
1969,5.231953892668184,298.6856853410523,18879300.0
1970,5.231953892668184,301.8566588859022,18880200.0
1971,326.53061224489824,302.50487295925996,18881100.0
1972,5.231953892668184,296.0172665648142,18882000.0
1973,40.81632653061228,302.21222970865904,18882900.0
1974,326.53061224489824,299.64648683273293,18883800.0
1975,137.75510204081638,295.9065798696494,18884700.0
1976,0.0,296.9830675950765,18885600.0
1977,326.53061224489824,306.78890338150603,18886500.0
1978,137.75510204081638,295.7754791777394,18887400.0
1979,326.53061224489824,296.64387316244506,18888300.0
1980,40.81632653061228,294.8805651302277,18889200.0
1981,0.0,297.6023120319144,18890100.0
1982,326.53061224489824,305.0451748149035,18891000.0
1983,5.231953892668184,294.6784752193363,18891900.0
1984,137.75510204081638,299.85063784296995,18892800.0
1985,137.75510204081638,295.4683051372328,18893700.0
1986,137.75510204081638,295.01896209596845,18894600.0
1987,40.81632653061228,294.6383444652976,18895500.0
1988,137.75510204081638,295.881916685494,18896400.0
1989,0.0,294.0997736586675,18897300.0
1990,40.81632653061228,301.43589697073367,18898200.0
1991,326.53061224489824,295.6013236876443,18899100.0
1992,40.81632653061228,292.5717882991643,18900000.0
1993,137.75510204081638,294.14113997610247,18900900.0
1994,326.53061224489824,292.42798164483094,18901800.0
1995,40.81632653061228,291.0785204014249,18902700.0
1996,40.81632653061228,292.4704884700597,18903600.0
1997,326.53061224489824,296.40390128480027,18904500.0
1998,40.81632653061228,296.5754045801564,18905400.0
1999,0.0,296.80076000725404,18906300.0
2000,137.75510204081638,297.5128101419985,18907200.0
2001,326.53061224489824,296.6503980103246,18908100.0
2002,0.0,296.5227344629874,18909000.0
2003,326.53061224489824,297.20463204684177,18909900.0
2004,5.231953892668184,296.4513116479945,18910800.0
2005,137.75510204081638,296.71181244997706,18911700.0
2006,5.231953892668184,296.43918542539626,18912600.0
2007,40.81632653061228,296.5672910528068,18913500.0
2008,137.75510204081638,296.4070326891197,18914400.0
2009,40.81632653061228,296.29472143932315,18915300.0
2010,0.0,296.28363346712956,18916200.0
2011,137.75510204081638,296.3491248212171,18917100.0
2012,326.53061224489824,296.1758021322502,18918000.0
2013,137.75510204081638,296.1348984425661,18918900.0
2014,40.81632653061228,296.0895327285995,18919800.0
2015,5.231953892668184,296.00657205101106,18920700.0
2016,40.81632653061228,293.15,18316800.0
2017,0.0,293.0261389143624,18317700.0
2018,326.53061224489824,292.9024379708278,18318600.0
2019,0.0,293.2602018012831,18319500.0
2020,137.75510204081638,292.80460539901844,18320400.0
2021,137.75510204081638,292.7815044790416,18321300.0
2022,326.53061224489824,292.58066513949035,18322200.0
2023,326.53061224489824,292.71103394680796,18323100.0
2024,5.231953892668184,292.66986069326424,18324000.0
2025,5.231953892668184,292.1919882050874,18324900.0
2026,0.0,291.8782985468513,18325800.0
2027,0.0,291.6613175192668,18326700.0
2028,137.75510204081638,291.4777552421029,18327600.0
2029,137.75510204081638,291.44060870290065,18328500.0
2030,0.0,291.2812084000021,18329400.0
2031,0.0,291.0198402826583,18330300.0
2032,137.75510204081638,290.8267128946051,18331200.0
2033,137.75510204081638,290.8212011549809,18332100.0
2034,5.231953892668184,290.7373429761429,18333000.0
2035,5.231953892668184,290.56887022206934,18333900.0
2036,137.75510204081638,290.4898329598412,18334800.0
2037,326.53061224489824,290.6995082480702,18335700.0
2038,40.81632653061228,291.1676915592696,18336600.0
2039,0.0,290.8787280422952,18337500.0
2040,0.0,290.68684617046404,18338400.0
2041,137.75510204081638,290.6696159955351,18339300.0
2042,0.0,291.0484463551653,18340200.0
2043,40.81632653061228,291.0183444945188,18341100.0
2044,40.81632653061228,291.2417405130384,18342000.0
2045,137.75510204081638,289.00757779696414,18342900.0
2046,137.75510204081638,288.2691370084716,18343800.0
2047,40.81632653061228,288.26840649397144,18344700.0
2048,40.81632653061228,288.7986144630319,18345600.0
2049,0.0,289.2872948495061,18346500.0
