,speed,mass_flow,T_oa,T_sa,T_roo,P_tot
17474.0,0.0,0.0,290.34999999999997,288.1419761754992,292.03067299558205,0.0
17475.0,0.0,0.0,290.34999999999997,288.1419761756294,291.968299976074,0.0
17476.0,0.0,0.0,290.34999999999997,288.14197617567436,291.9078622805265,0.0
17477.0,0.0,0.0,290.34999999999997,288.141976175691,291.8493450521763,0.0
17478.0,0.0,0.0,290.34999999999997,288.1419761756972,291.79276231490445,0.0
17479.0,0.0,0.0,290.34999999999997,288.1419761756995,291.73814631591887,0.0
17480.0,0.0,0.0,290.34999999999997,288.14197617570034,291.68549541525516,0.0
17481.0,0.0,0.0,290.34999999999997,288.1419761757006,291.6347455809237,0.0
17482.0,0.0,0.0,290.34999999999997,288.14197617570073,291.58579377603286,0.0
17483.0,0.0,0.0,290.34999999999997,288.14197617570073,291.5385160370068,0.0
17484.0,0.0,0.0,290.34999999999997,288.14197617570073,291.49281858888264,0.0
17485.0,0.0,0.0,290.34999999999997,288.14197617570073,291.4487010596412,0.0
17486.0,0.0,0.0,290.34999999999997,288.14197617570073,291.40626435311344,0.0
17487.0,0.0,0.0,290.34999999999997,288.1419761757008,291.3657734774875,0.0
17488.0,0.0,0.0,290.34999999999997,288.1419761757008,291.3279007148636,0.0
17489.0,0.0,0.0,290.34999999999997,288.1419761757008,291.29381729585924,0.0
17490.0,0.0,0.0,290.34999999999997,288.1419761757008,291.2652702598164,0.0
17491.0,0.0,0.0,290.3500260897983,288.1419761757008,291.2448153148356,0.0
17492.0,0.0,0.0,290.3765350719919,288.1419761757008,291.2350397155627,0.0
17493.0,0.0,0.0,290.51272390354757,288.1419761757008,291.2395509783509,0.0
17494.0,0.0,0.0,290.7121790402551,288.1419761757008,291.2659411151852,0.0
17495.0,0.22462041075729033,0.08984816430291613,290.8881935065006,289.859518208155,291.29636168911367,18.94817429774397
17496.0,0.7107281758510758,0.2842912703404304,290.968047631199,291.8474233294899,291.4823301001466,145.06134861036116
17497.0,0.34565059853621954,0.1382602394144878,290.967473339572,291.6965298653357,291.63054501205136,26.42403362568121
17498.0,0.9026420912327111,0.36105683649308445,290.9393103891615,292.3555298641924,291.8778674590385,258.0907382905288
17499.0,0.7291554471321884,0.2916621788528754,290.93260235964624,292.37703936028026,292.18293396130343,147.50437931942756
17500.0,0.40559502975476636,0.16223801190190654,290.98334033592215,287.99307625840197,291.9994471970939,25.737203798212356
17501.0,0.6111151346035959,0.2444460538414384,291.0725664402244,286.19659075750565,290.98623803973186,80.04627550165229
17502.0,0.5274564541950751,0.21098258167803008,291.1937487498453,286.1458661468345,290.5829486421372,52.93529610224977
17503.0,0.7188095099188401,0.2875238039675361,291.3514457125905,286.1505554100339,290.22055823410886,127.78445641463465
17504.0,0.47969190673172085,0.19187676269268836,291.5583852060824,286.1408294297392,290.3937617203293,45.4318885001945
17505.0,0.24586894985599758,0.09834757994239904,291.8339278170593,286.14973318040023,291.18885397909713,7.765928211032449
17506.0,0.44615967337436196,0.17846386934974479,292.13977282215853,286.153340080917,291.4090825238238,35.363863198374176
17507.0,0.2241487472450066,0.08965949889800263,292.4222592779137,286.14856315578635,292.05538358811253,7.0098561771340195
17508.0,0.6230769694109747,0.2492307877643899,292.63474535045356,286.1642702486791,291.9511167030513,87.77028614717985
17509.0,0.8297177150079025,0.331887086003161,292.7829719332926,286.1541608300179,291.4929508816787,196.54261366338142
17510.0,0.7555502791229259,0.3022201116491704,292.9084386867355,286.1386817285788,291.35275000742706,172.96270112765967
17511.0,0.3128264101161343,0.12513056404645376,293.0538113929748,286.14342638451416,292.29277299905937,15.15644707525354
17512.0,0.701495375140212,0.28059815005608474,293.25187779124917,286.164600558079,292.3278632704299,121.62855836618718
17513.0,0.7580246284449724,0.303209851377989,293.491676140606,286.1489997320868,292.09282633843816,148.65359780033288
17514.0,0.5969907588006831,0.23879630352027326,293.76553076751514,286.14260381439277,292.33007387498037,76.91337955762994
17515.0,0.32633279982518054,0.13053311993007222,294.0734878581757,286.1424200417732,293.1686484362122,12.924673708342933
17516.0,0.2643952737510407,0.1057581095004163,294.4252137737054,286.15169790495514,294.09515073939997,6.549983304448381
17517.0,0.32917204015682816,0.13166881606273126,294.84488937163053,286.1526076025389,294.6129963797588,12.421172383938515
17518.0,0.352666235689221,0.1410664942756884,295.2987488838214,286.15793611632074,295.1469315724124,20.189037365902216
17519.0,0.5656008289154746,0.22624033156618983,295.7362158466924,286.15105414004614,294.8815548846434,69.29693666811671
17520.0,0.27978522457355814,0.11191408982942326,296.1273150817876,286.14459283976277,295.7830200107034,10.699371319807977
17521.0,0.5911977887313832,0.2364791154925533,296.50128105913063,286.1641109409294,295.7304044040928,71.8576494639065
17522.0,0.5522099595813261,0.22088398383253047,296.8177603287621,286.1448430292794,295.68447645671296,58.3892134869982
17523.0,0.5519347958273234,0.22077391833092938,297.010253502988,286.1584530386582,296.05761100411996,67.16158267052103
17524.0,0.8665355743759545,0.34661422975038186,297.04990926007406,286.1568372834598,295.34429241446765,225.7556837619123
17525.0,0.7234444085712148,0.2893777634284859,297.04999999999995,286.1458646952545,295.3795809649027,131.30933052196204
17526.0,0.7983265026940247,0.3193306010776099,297.04999999999995,286.14753166916,295.2310325595429,182.95016062171212
17527.0,0.3613068928941369,0.14452275715765478,297.04999999999995,286.1277793324902,296.25823282627886,22.944338327347193
17528.0,0.1364502565991167,0.054580102639646674,297.04999999999995,286.1491171404029,298.0517369726988,1.8189266300369695
17529.0,0.4833362919733977,0.1933345167893591,297.04999999999995,286.18258914313355,298.03779744690195,47.30504347392394
17530.0,0.8230483167328926,0.32921932669315707,297.04999999999995,286.1474949035838,296.52080653961474,191.80024950951372
17531.0,0.720020451791401,0.2880081807165604,297.04999999999995,286.12900703815285,295.7959985154482,141.24645660669978
17532.0,0.34845886930704056,0.13938354772281622,297.0019498646262,286.1375615687341,296.72961953286307,15.860881660834139
17533.0,0.5108653625189137,0.20434614500756548,296.7558943534165,286.16079846055294,296.864450623023,46.58086183090662
17534.0,0.6577753786127113,0.2631101514450845,296.3929995810005,286.15701879624976,296.23814216342663,99.04363969199491
17535.0,0.7212566549964897,0.28850266199859587,296.06797846638,286.1445434191513,295.4742769841724,132.41244184814792
17536.0,0.5595715777783917,0.22382863111135667,295.9230897958433,286.14771760927584,295.56537684581076,63.73355851273144
17537.0,0.7702234433815672,0.3080893773526269,295.96509164103503,286.1540154202916,294.94646311240916,159.09023142268185
17538.0,0.5115328449462606,0.20461313797850422,296.0552733449668,286.1350010891357,295.03539146653816,49.80975247256444
17539.0,0.25088856017606004,0.10035542407042403,296.0389129736892,286.13901968929673,295.9072354109696,6.57840913514312
17540.0,0.1492588608751728,0.059703544350069124,295.8216530091027,286.15167027549603,296.9088064937643,1.54479998632193
17541.0,0.22386320251777184,0.08954528100710873,295.5466666666667,286.15275613574687,297.12062478510205,4.428659704967078
17542.0,0.2545148130144561,0.10180592520578244,295.27166666666665,286.16631985862597,297.31567492440115,17.050563697029016
17543.0,0.7057489608637559,0.2822995843455024,294.99666666666667,286.16986879339777,295.572860484533,132.98867372868858
17544.0,0.412239886340396,0.1648959545361584,294.72166666666664,286.1348738666023,295.1939898193162,28.212206841111136
17545.0,0.5712124392820386,0.2284849757128154,294.44666666666666,286.1294411009699,294.4151191159164,76.0463098053979
17546.0,0.2742818176742529,0.10971272706970119,294.1716666666667,286.1460961780662,294.7089599789593,15.06284357012877
17547.0,0.589601171517831,0.2358404686071324,293.8966636568087,286.18770445204154,293.8510414557106,84.24576458208843
17548.0,0.04733820617911177,0.01893528247164471,293.5728629172974,285.769094075155,294.39545319691143,1.006821595238329
17549.0,0.0,0.0,293.04424998322116,286.4876147746344,295.2050072365029,0.0
17550.0,0.0,0.0,292.38563936420616,286.8988910849713,295.57418257655723,0.0
17551.0,0.0,0.0,291.7449478325959,287.0480618189782,295.70343544642736,0.0
17552.0,0.0,0.0,291.22837698043367,287.10153031138657,295.6943078876336,0.0
17553.0,0.0,0.0,290.7689624038529,287.1211188904935,295.60520357049484,0.0
17554.0,0.0,0.0,290.3527751733339,287.12835706185143,295.4663352635947,0.0
17555.0,0.0,0.0,290.0045869863929,287.1310050611938,295.28809882580117,0.0
17556.0,0.0,0.0,289.7515447095728,287.131977392969,295.07924647887,0.0
17557.0,0.0,0.0,289.59919805597576,287.1323332583503,294.852176656154,0.0
