,PCoo.y,TRoo
18442800.0,737.1338333261411,295.1506108696103
18443700.0,428.81260419007685,298.351871383701
18444600.0,1058.5011790361953,295.15154216021216
18445500.0,813.2354608531813,296.80424379779066
18446400.0,651.2862773717611,298.5680131511233
18447300.0,688.4780531659352,299.1504678062804
18448200.0,792.0769846041574,299.1503788697495
18449100.0,963.8670947185906,298.66426290758704
18450000.0,3011.4582963639846,295.14865421384445
18450900.0,1928.9668322069756,295.2908804012974
18451800.0,768.6518655223954,299.15037551695787
18452700.0,1401.3615708785271,296.7838284616237
18453600.0,1917.3075110651773,295.14944189980935
18454500.0,1627.3921647511245,295.3406096527301
18455400.0,636.5246581108116,299.15029112936406
18456300.0,1112.9109840374697,296.8243623099968
18457200.0,872.9854588678925,297.61465072469764
18458100.0,611.2093997218429,299.1500608181885
18459000.0,1453.2898811714883,295.14911975263135
18459900.0,1220.6794084441954,295.1492723234646
18460800.0,444.5071888960757,299.15018116633917
18461700.0,494.6809282229197,298.9525587863872
18462600.0,627.3160910500519,297.671564556888
18463500.0,438.36205579615057,299.15000151520667
18464400.0,434.59285511004293,299.14993851120545
18465300.0,421.5945401069399,299.14889160851294
18466200.0,442.1714606980292,298.608539085781
18467100.0,414.2639451583272,298.59428700345296
18468000.0,411.84641605879966,298.2069078813839
18468900.0,413.04046345744763,297.02391120259006
18469800.0,378.69102816536457,296.59632122820557
18470700.0,356.1957435532881,296.0792386152435
18471600.0,326.17681633221,295.8390523116007
18472500.0,0.0,298.1537743357911
18473400.0,301.82210415208544,295.80216022446245
18474300.0,0.0,297.39746245461623
18475200.0,0.0,297.4919097501086
18476100.0,0.0,297.31899984856744
18477000.0,0.0,297.06679929921717
18477900.0,0.0,296.7824217811602
18478800.0,0.0,296.481679141663
18479700.0,0.0,296.1805286438125
18480600.0,0.0,295.9128956597671
18481500.0,0.0,295.6836774681067
18482400.0,0.0,294.9495971492228
18483300.0,0.0,295.0278404963194
18484200.0,0.0,294.8768601417483
18485100.0,0.0,294.6559993313161
18486000.0,0.0,294.4184544147757
18486900.0,0.0,294.1902172912385
18487800.0,0.0,293.9792512503383
18488700.0,0.0,293.78162356570067
18489600.0,0.0,293.58925485370213
18490500.0,0.0,293.3941705873899
18491400.0,0.0,293.1972319949861
18492300.0,0.0,293.00056721645274
18493200.0,0.0,292.8060839459745
18494100.0,0.0,292.61599769772755
18495000.0,0.0,292.43136896474493
18495900.0,0.0,292.25144636829486
18496800.0,0.0,292.0744633087774
18497700.0,0.0,291.894875349682
18498600.0,0.0,291.7027820836797
18499500.0,0.0,291.5015802163911
18500400.0,0.0,291.30451697353624
18501300.0,0.0,291.1249972041901
18502200.0,0.0,290.95811712464484
18503100.0,0.0,290.7998151740482
18504000.0,0.0,290.64898965784994
18504900.0,0.0,290.50520317590696
18505800.0,0.0,290.3681359574827
18506700.0,159.73207077455766,289.2577250328854
18507600.0,0.0,289.76283493015075
18508500.0,0.0,289.835491913652
18509400.0,0.0,289.8084884190856
18510300.0,0.0,289.78511135294855
18511200.0,0.0,289.8090160011268
18512100.0,0.0,289.9021175813582
18513000.0,0.0,290.07669151518303
18513900.0,0.0,290.32691147105766
18514800.0,0.0,290.6518208430193
18515700.0,927.0915289486968,290.0682609797509
18516600.0,1397.0553393789462,290.24101354259915
18517500.0,1606.319921355977,290.53832235578534
18518400.0,1696.2637733575489,290.9039280490253
18519300.0,1772.6033379545042,291.81421616836525
18520200.0,1857.0999617277803,292.4708187343357
18521100.0,1945.1156187097424,293.1562681082785
18522000.0,677.0310035901068,293.7802519285675
18522900.0,387.09352777881526,294.5299796830576
18523800.0,360.8262842266303,295.1508144466411
18524700.0,338.2032126029873,296.06723552149805
18525600.0,454.9668145727652,295.1508719968385
18526500.0,491.5393261010959,295.57321094113945
18527400.0,635.9222095386652,295.1507272753508
18528300.0,735.7326250104809,295.1508175780811
18529200.0,416.14006556039726,298.4443146074582
