,speed,mass_flow,T_oa,T_roo,P_tot,T_roo_1
18427500.0,0.8450066725595867,0.4308412006675157,290.82994688,287.2284551320008,141.0793128916624,286.99521948535585
18428400.0,0.35188066445359645,0.4258579002368696,291.1512566755556,287.2121499592253,273.24987577038127,287.2284551320008
18429300.0,0.3647068332268542,0.18215740428581967,291.57977024,288.14572641751136,10.09402465122901,287.2121499592253
18430200.0,0.4169813129968991,0.32896076694416954,292.087824,288.0637797715838,54.749878457735946,288.14572641751136
18431100.0,0.3889500344227718,0.2920146127036488,292.62654976,288.3638868106162,37.6484118882852,288.0637797715838
18432000.0,0.26824401942353143,0.2425518240148811,293.14972465777777,288.7814680080229,24.85106200356789,288.3638868106162
18432900.0,0.4293611954945876,0.3151295714711809,293.65,289.73649892163286,49.3433673691821,288.7814680080229
18433800.0,0.3443986798072338,0.2882457228489755,294.15,289.6117931025803,39.25799798881688,289.73649892163286
18434700.0,0.6724767799655702,0.4802085979756886,294.65,290.24627040827426,186.62223192067802,289.6117931025803
18435600.0,0.6586611383032833,0.5002977944390389,295.15,289.57496206675387,191.23347246221297,290.24627040827426
18436500.0,0.24514047462875865,0.22100686182204832,295.65,290.2459414065152,33.782611242250184,289.57496206675387
18437400.0,0.18713997837946356,0.162072562751703,296.15,292.19340580440695,6.531279714208722,290.2459414065152
18438300.0,0.4004163108075319,0.27501978718604064,296.65,292.7641947309058,36.62247058405384,292.19340580440695
18439200.0,0.3830741164621891,0.303335939665607,297.1511902862222,292.2441128569166,42.72566139968568,292.7641947309058
18440100.0,0.4475354422867589,0.32086506523964003,297.7489856,292.85047716387305,51.80618452738573,292.2441128569166
18441000.0,0.15967970683848506,0.2936230870432226,298.49417408,293.13236673126517,51.767918608495386,292.85047716387305
18441900.0,0.354851069125108,0.20623630106060672,299.31806143999995,296.4547588875507,26.68999027080225,293.13236673126517
18442800.0,0.458236177033369,0.30582790941067056,300.1512716942222,294.2206182580701,43.40138109208532,296.4547588875507
18443700.0,0.2774698232630015,0.2488409634726823,301.11653152,294.5987666673313,29.60297757603416,294.2206182580701
18444600.0,0.7323051057195766,0.21521795266892102,302.24360883199995,296.2309885841977,38.023837553616474,294.5987666673313
18445500.0,0.8618037505144459,0.6650626077785262,303.323128128,292.74018716783786,447.82639703445017,296.2309885841977
18446400.0,0.7413238926476514,0.6345893160353053,304.15,292.95280601159465,386.3210916183735,292.74018716783786
18447300.0,0.8835075440750799,0.6057965452413321,304.6439173759999,293.22276546921745,354.0397576685811,292.95280601159465
18448200.0,0.9809707425376436,0.7336544641426436,304.930930944,292.84603741259065,597.3082914717229,293.22276546921745
18449100.0,0.6408660356588247,0.6038540816685896,305.07508384,293.10841016760344,398.0171015584117,292.84603741259065
18450000.0,0.419170634560468,0.3235662099752936,305.15000625777776,294.5920593510296,53.010071925281636,293.10841016760344
18450900.0,0.17622791788340372,0.23211878226625834,305.23193856,296.31069417389267,29.75171262582654,294.5920593510296
18451800.0,0.5998753996690678,0.411586950235072,305.30582592,298.73928655475737,135.7871239017217,296.31069417389267
18452700.0,0.32485831657251857,0.37379542070761307,305.3010144,295.46453207473684,114.34031877309113,298.73928655475737
18453600.0,0.3378841162459122,0.2396122386590312,305.14880971377784,298.64553285041563,23.484910575223648,295.46453207473684
18454500.0,0.12463271570478758,0.2070162248783665,304.9,297.9107640597103,21.700522651016694,298.64553285041563
18455400.0,0.2171838480611629,0.13777224835792615,304.65,302.0653200018928,6.507713990799521,297.9107640597103
18456300.0,0.3737743032366229,0.20351867865317155,304.4,299.2184305271136,14.976437226407105,302.0653200018928
18457200.0,0.4179163901110608,0.3091996828913435,304.150187392,297.33398055825324,44.781912434861,299.2184305271136
18458100.0,0.1848759281262438,0.2818373595650415,303.9234988799999,297.2001751163762,40.819508920842814,297.33398055825324
18459000.0,0.22789561598989874,0.14413963991376527,303.712201856,300.5700007301856,6.450172489618592,297.2001751163762
18459900.0,0.4213312416748225,0.20130624923638632,303.47005311999993,298.71218610976916,14.738635069763939,300.5700007301856
18460800.0,0.5519193381473939,0.3929616679486634,303.1487433244444,295.9594437627568,93.87518946449828,298.71218610976916
18461700.0,0.5703928456325461,0.4240872719523771,302.72022976,295.0100127066372,115.30174315090409,295.9594437627568
18462600.0,0.24878433698004845,0.28140360412182325,302.212176,295.33496001932,59.8184386480905,295.0100127066372
18463500.0,0.38886747727414017,0.2895949542927844,301.67345024,297.8778595850352,37.431231033336225,295.33496001932
18464400.0,0.7219186340472039,0.4207442719140773,301.1502753422222,294.93679594583494,151.92992643100138,297.8778595850352
18465300.0,0.6167781246460862,0.4677672775336066,300.65,293.0141565187558,157.29639317595573,294.93679594583494
18466200.0,0.17229645381448785,0.3035846342350577,300.15,293.9696492635904,88.75378414547613,293.0141565187558
18467100.0,0.21810256362939826,0.15642348006913856,299.65,297.59614721995086,6.723778903028928,293.9696492635904
18468000.0,0.0964645498168436,0.1251259168504702,299.147769728,296.29470060709696,5.190988876261547,297.59614721995086
18468900.0,0.6951288000179694,0.4584697977386628,298.49246054400004,296.7478932671939,215.53035803478,296.29470060709696
18469800.0,0.7208557837884845,0.5404934617696839,297.65006656,291.9143061562976,241.43021707758683,296.7478932671939
18470700.0,0.24243461064257124,0.2364019936936084,296.807638016,292.0375205173691,47.56268927701942,291.9143061562976
18471600.0,0.0970275719525944,0.1356999164981502,296.1505909617778,293.7026412086422,4.510467077159841,292.0375205173691
18472500.0,0.1,0.07484862634943433,295.65,294.4540036213458,0.8698347577215345,293.7026412086422
18473400.0,0.1,0.07500000000000001,295.15,294.2493637021354,0.8739606953892677,294.4540036213458
18474300.0,0.1,0.07500000000000001,294.65,293.95510586034266,0.8739606953892677,294.2493637021354
18475200.0,0.1,0.07500000000000001,294.15,293.64972541144414,0.8739606953892677,293.95510586034266
18476100.0,0.1,0.07500000000000001,293.65,293.3435759124515,0.8739606953892677,293.64972541144414
18477000.0,0.1,0.07500000000000001,293.15,293.0389050702704,0.8739606953892677,293.3435759124515
18477900.0,0.1,0.07500000000000001,292.65,292.73634917089765,0.8739606953892677,293.0389050702704
18478800.0,0.1,0.07500000000000001,292.15,292.43624506232925,0.8739606953892677,292.73634917089765
18479700.0,0.1,0.07500000000000001,291.90343155200014,292.1467807319512,0.8739606953892677,292.43624506232925
18480600.0,0.1,0.07500000000000001,291.983561088,291.8840902914312,0.8739606953892677,292.1467807319512
18481500.0,0.1,0.07500000000000001,292.14827968,291.64885666724814,0.8739606953892677,291.8840902914312
