,P_coo,P_coo_1,P_coo_2,P_coo_3,P_coo_4,T_roo,T_roo_1,T_roo_2,T_roo_3,T_roo_4,T_set,h,T_oa
18212.0,291.5279291592663,295.07711696132725,297.2354980726362,299.2632644877473,301.66122548242805,26.730608569759454,26.76756664661781,26.769558752463524,26.727916373519065,26.618982297112495,32.23457838763716,17,22.726442268526228
18213.0,286.15983674875366,291.5279291592663,295.07711696132725,297.2354980726362,299.2632644877473,26.65915603850408,26.730608569759454,26.76756664661781,26.769558752463524,26.727916373519065,32.34390991767941,17,22.514407774478684
18214.0,277.40791218208864,286.15983674875366,291.5279291592663,295.07711696132725,297.2354980726362,26.55044347792824,26.65915603850408,26.730608569759454,26.76756664661781,26.769558752463524,32.34390991767941,17,22.2300883902725
18215.0,256.8490101017465,277.40791218208864,286.15983674875366,291.5279291592663,295.07711696132725,26.402045437519348,26.55044347792824,26.65915603850408,26.730608569759454,26.76756664661781,32.34390991767941,17,21.893172811087254
18216.0,236.94633751705072,256.8490101017465,277.40791218208864,286.15983674875366,291.5279291592663,26.109018304688334,26.402045437519348,26.55044347792824,26.65915603850408,26.730608569759454,32.34390991767941,18,21.514040418521688
18217.0,224.0045840785397,236.94633751705072,256.8490101017465,277.40791218208864,286.15983674875366,25.695519095499435,26.109018304688334,26.402045437519348,26.55044347792824,26.65915603850408,32.34390991767941,18,21.081294412521913
18218.0,210.4222560230152,224.0045840785397,236.94633751705072,256.8490101017465,277.40791218208864,25.282101929659063,25.695519095499435,26.109018304688334,26.402045437519348,26.55044347792824,32.34390991767941,18,20.628490378071888
18219.0,197.01376292316576,210.4222560230152,224.0045840785397,236.94633751705072,256.8490101017465,24.857241536655522,25.282101929659063,25.695519095499435,26.109018304688334,26.402045437519348,32.34390991767941,18,20.20360512994506
18220.0,33.65615273989549,197.01376292316576,210.4222560230152,224.0045840785397,236.94633751705072,24.91265309997658,24.857241536655522,25.282101929659063,25.695519095499435,26.109018304688334,32.34390991767941,19,19.855562671551695
18221.0,0.0,33.65615273989549,197.01376292316576,210.4222560230152,224.0045840785397,25.251719226329783,24.91265309997658,24.857241536655522,25.282101929659063,25.695519095499435,32.34390991767941,19,19.597681815074623
