,P_coo,P_fan,P_hea,P_pum,P_tot,T_oa,T_roo,T_set
17958.0,0.0,0.0,0.0,0.0,0.0,293.9012884804408,295.29948493680075,301.73931045162215
17959.0,0.0,0.0,0.0,0.0,0.0,293.7777820225732,295.20586955339655,300.51721103906146
17960.0,0.0,0.0,0.0,0.0,0.0,293.7732330348567,295.1196487548548,300.42274629460815
17961.0,0.0,0.0,0.0,0.0,0.0,293.8907193187555,295.0453853342664,300.42274629460815
17962.0,0.0,0.0,0.0,0.0,0.0,294.0603557375289,294.98539763775113,300.42274629460815
17963.0,0.0,0.0,0.0,0.0,0.0,294.20389730204164,294.93939677803723,300.42274629460815
17964.0,0.0,0.0,0.0,0.0,0.0,294.26744666652235,294.90442144476475,300.42274629460815
17965.0,0.0,0.0,0.0,0.0,0.0,294.2947290596636,294.87705353652314,300.42274629460815
17966.0,0.0,0.0,0.0,0.0,0.0,294.3000878883825,294.8547576309687,300.42274629460815
17967.0,0.0,0.0,0.0,0.0,0.0,294.2757884246801,294.83474758783234,299.80860612754043
17968.0,0.0,0.0,0.0,0.0,0.0,294.20790194723554,294.81440099963584,297.8967066618518
17969.0,0.0,0.0,0.0,0.0,0.0,294.08092275029327,294.7913858761757,297.7271218009974
17970.0,0.0,0.0,0.0,0.0,0.0,293.9289379469653,294.76507214323897,297.7271218009974
17971.0,0.0,0.0,0.0,0.0,0.0,293.79883501287117,294.73867804544903,297.7271218009974
17972.0,0.0,0.0,0.0,0.0,0.0,293.7231454832084,294.71841416680917,297.7271218009974
17973.0,0.0,0.0,0.0,0.0,0.0,293.67937155803025,294.70816487753905,297.7271218009974
17974.0,0.0,0.0,0.0,0.0,0.0,293.66901928779083,294.71218842893364,297.7271218009974
17975.0,0.0,0.0,0.0,0.0,0.0,293.70755702137177,294.737724322047,297.7271218009974
17976.0,0.0,0.0,0.0,0.0,0.0,293.8010588076852,294.78833956144155,297.7271218009974
17977.0,0.0,0.0,0.0,0.0,0.0,293.9187210379122,294.8654126788311,297.56383692940017
17978.0,0.0,0.0,0.0,0.0,0.0,294.04617043453305,294.9700087626887,297.073457418812
17979.0,10.307924649462183,0.027252537813488204,0.0,0.17467122976313915,10.509848417038809,294.1787347566337,295.0998589122502,297.0316149275941
17980.0,311.74522987620105,0.8368930673294531,0.0,5.363946002061181,317.9460689455917,294.31365748200034,294.8744952304626,297.0316149275941
17981.0,320.96261751253843,0.8739606953892678,0.0,5.60152564407184,327.4381038519995,294.45558564597866,294.44367621045063,297.0316149275941
17982.0,309.26463100165046,0.8739606953892678,0.0,5.60152564407184,315.7401173411115,294.6057523840389,294.2593585372491,297.0316149275941
17983.0,299.7221241895838,0.8739606953892678,0.0,5.60152564407184,306.1976105290449,294.7634132815626,294.22603361912064,298.85745527264714
17984.0,294.82072671635365,0.8739606953892678,0.0,5.60152564407184,301.2962130558147,294.9655953472749,294.40305906813836,304.41738428054924
17985.0,294.8827383649304,0.8739606953892678,0.0,5.60152564407184,301.35822470439143,295.3310620601749,294.75966379257846,304.8489853157735
17986.0,297.33364109063547,0.8739606953892678,0.0,5.60152564407184,303.8091274300965,295.7981447335163,295.16952694333304,304.8489853157735
17987.0,300.44963674271565,0.8739606953892678,0.0,5.60152564407184,306.92512308217675,296.2482114364887,295.63473713506085,304.8489853157735
17988.0,303.17532063474476,0.8739606953892678,0.0,5.60152564407184,309.6508069742059,296.5268727883594,296.1362771016029,304.8489853157735
17989.0,304.5524581607248,0.8739606953892678,0.0,5.60152564407184,311.0279445001859,296.49151232589713,296.644284778493,304.8489853157735
17990.0,309.1771959344504,0.8739606953892678,0.0,5.60152564407184,315.6526822739115,296.33338188509794,297.139283056615,304.8489853157735
