,T_oa,T_roo,mass_flow
20405,303.6156808,293.9231922,0.645979444
20406,303.858383,293.7579779,0.541493633
20407,304.0563711,294.4452661,0.431609572
20408,304.235899,293.6881837,0.576624588
20409,304.4135467,293.3418177,0.584387953
20410,304.4909854,293.8099409,0.47323213
20411,304.3438079,294.0032754,0.440495473
20412,303.9165012,292.974267,0.604462498
20413,303.4166667,295.0855636,0.210939799
20414,302.9166667,296.8011253,0.167615701
20415,302.4166667,294.088285,0.512510527
20416,301.9166667,292.4584332,0.644838033
20417,301.4166667,292.7287536,0.500241167
20418,300.9166667,292.4108607,0.545828624
20419,300.4166667,293.920202,0.230271149
20420,299.9166667,293.6261363,0.320559119
20421,299.4166667,293.1281004,0.342864666
20422,298.9166667,294.2033641,0.20033521
20423,298.4166667,291.938523,0.602709749
20424,297.9166667,292.0173219,0.373237596
20425,297.4166667,292.7506443,0.201487694
20426,296.9166667,293.1392119,0.143518905
20427,296.4166801,290.7655376,0.542605983
20428,295.9597172,291.0340779,0.229950814
20429,295.682002,292.2504898,0.087504578
20430,295.5106047,292.660639,0.075
20431,295.3073168,292.5454478,0.075
20432,294.944575,292.3723358,0.075
20433,294.4133385,292.1797182,0.075
20434,293.8347123,291.9724733,0.075
20435,293.3437057,291.7585417,0.075
20436,293.0331793,291.5490438,0.075
20437,292.8095342,291.3486254,0.075
20438,292.6043356,291.1555789,0.075
20439,292.3831137,290.9681976,0.075
20440,292.1227167,290.7840538,0.075
20441,291.8476188,290.6022301,0.075
20442,291.5708185,290.4230957,0.075
20443,291.2954552,290.2466743,0.075
20444,291.0106589,290.0727046,0.075
20445,290.6869786,289.8990494,0.075
20446,290.3852659,289.7263643,0.075
20447,290.1911779,289.5596931,0.075
20448,290.150095,289.4056196,0.075
20449,290.15,289.2643353,0.075
20450,290.15,289.1329537,0.075
20451,290.15,289.0104613,0.075
20452,290.15,288.8962674,0.075
20453,290.15,288.7892945,0.075
20454,290.15,288.6880642,0.075
20455,290.15,288.5917249,0.075
20456,290.15,288.5005405,0.075
20457,290.15,288.4153303,0.075
20458,290.15,288.3362572,0.075
20459,290.15,288.2630132,0.075
20460,290.1065236,288.1940803,0.075
20461,289.8826513,288.1202236,0.075
20462,289.5527156,288.0355292,0.075
20463,289.2571909,287.9450208,0.075
20464,289.0935704,287.8581486,0.075
20465,288.9946688,287.7779928,0.075
20466,288.9644704,287.7041905,0.075
20467,289.0500426,287.6412845,0.075
